"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2014-12-17,193.299,195.11,188.838,122.133003,8345650,77.898331
2014-12-18,192.01,203.245,192.01,127.988998,10817460,81.633377
2014-12-19,202.218,203.473,198.421,126.932999,7923672,80.959846
2014-12-22,199.012,199.953,197.079,127.143997,5487273,81.094421
2014-12-23,199.587,201.695,196.504,125.733002,3251772,80.194466
2014-12-24,197.113,197.985,189.901,122.056,12988044,77.84922
2014-12-26,192.498,192.88,186.523,120.255997,5865552,76.701141
2014-12-29,189.536,191.643,188.525,120.932999,3735702,77.13295
2014-12-30,191.591,192.88,189.327,122.210999,3042284,77.948082
2014-12-31,190.599,192.236,188.561,121.655998,3627032,77.594109
2015-01-01,191.626,194.012,190.093,122.344002,3441483,78.032906
2015-01-02,190.582,193.333,189.536,121.389,3367593,77.423798
2015-01-05,189.222,196.503,189.222,124.821999,6190628,79.613426
2015-01-06,198.002,200.825,191.19,123.588997,14040729,78.826988
2015-01-07,194.867,199.727,192.027,126.356003,8534110,80.591835
2015-01-08,200.685,209.918,199.152,132.899994,12601552,84.765701
2015-01-09,211.121,211.121,203.333,130.910995,5995714,83.497078
2015-01-12,207.218,207.218,202.305,130,4430120,82.916023
2015-01-13,205.771,209.291,203.507,130.688995,7015558,83.355484
2015-01-14,205.737,206.434,198.943,127.377998,5955430,81.243683
2015-01-15,201.905,206.19,198.299,128.889008,5257822,82.207428
2015-01-16,202.775,204.012,198.63,127.143997,5168277,81.094421
2015-01-19,196.853,198.595,193.299,124.344002,8658918,79.308548
2015-01-20,195.303,198.943,195.303,125.567001,5363280,80.088593
2015-01-21,196.504,199.186,196.295,126.067001,6090579,80.407501
2015-01-22,197.044,199.431,194.24,124.310997,4839048,79.287498
2015-01-23,196.853,203.647,194.832,128.356003,10444707,81.867462
2015-01-27,202.079,202.949,197.758,127.244003,8728002,81.158211
2015-01-28,199.639,208.838,199.048,132.710999,8379882,84.645142
2015-01-29,209.744,223.262,209.396,141.466995,21949448,90.229866
2015-01-30,223.872,231.868,220.893,146.210999,13193618,93.255653
2015-02-02,225.074,231.258,217.862,139.733002,10485572,89.123894
2015-02-03,220.545,220.545,207.253,133.222,11381832,84.971077
2015-02-04,208.159,212.427,203.419,133.832993,15172168,85.360779
2015-02-05,211.033,219.151,207.932,134.511002,9503086,85.793205
2015-02-06,209.639,212.496,201.765,129.688995,5751513,82.717667
2015-02-09,201.731,205.911,197.951,127.722,8607510,81.463081
2015-02-10,199.239,204.57,198.595,129.610992,5895693,82.667915
2015-02-11,205.563,209.935,202.532,132.932999,5209646,84.786751
2015-02-12,210.788,213.75,206.712,132.766998,4383900,84.68087
2015-02-13,208.698,220.579,205.44,139.110992,10695478,88.727173
2015-02-16,218.105,224.254,206.765,132.688995,12432550,84.631111
2015-02-18,208.176,210.058,203.071,131.022003,10396404,83.567879
2015-02-19,207.304,209.744,203.995,132.199997,8227228,84.319221
2015-02-20,207.549,211.922,205.58,133.667007,10022958,85.254913
2015-02-23,210.614,212.532,204.953,132.367004,4996886,84.425743
2015-02-24,208.733,212.356,206.608,134.977997,5070542,86.09108
2015-02-25,212.532,216.189,210.023,136.5,8872047,87.061836
2015-02-26,214.274,214.448,204.866,132.188995,12987266,84.31221
2015-02-27,208.698,212.182,205.597,134.632996,4887054,85.871033
2015-03-02,219.499,229.952,219.499,145.432999,12592791,92.759438
2015-03-03,228.784,232.042,225.422,145.800003,5194260,92.99353
2015-03-04,229.935,233.419,220.092,141.722,8076596,90.392494
2015-03-05,221.973,226.642,221.241,142.899994,5530860,91.143845
2015-03-09,224.499,224.899,219.901,140.722,3170632,89.754692
2015-03-10,221.346,225.056,219.778,141.343994,6541132,90.151405
2015-03-11,222.287,224.325,214.482,137.610992,3800696,87.770447
2015-03-12,215.649,219.151,215.318,138.699997,4159602,88.465019
2015-03-13,218.803,223.558,215.406,138.421997,5576670,88.287704
2015-03-16,219.237,221.346,216.451,139.444,4270302,88.939545
2015-03-17,222.583,224.203,219.151,140.710999,7030246,89.747665
2015-03-18,222.27,231.503,221.241,145.210999,7884382,92.617836
2015-03-19,229.254,230.996,222.983,143.444,7186424,91.490822
2015-03-20,225.423,225.423,217.409,139.567001,4518783,89.018005
2015-03-23,219.394,221.572,216.05,138.511002,4638604,88.344482
2015-03-24,216.537,221.763,216.363,140.578003,5825776,89.662842
2015-03-25,220.545,223.82,217.339,139.811005,7371482,89.173645
2015-03-26,218.453,222.287,213.262,136.744003,5906660,87.217461
2015-03-27,215.945,217.252,210.788,137.688995,3142462,87.82019
2015-03-30,218.384,223.157,217.478,139.410995,5111226,88.918518
