"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2010-08-16,188.626,190.289,179.738,142.190002,1329895,111.188354
2010-08-17,185.429,188.217,182.744,143.270004,2150985,112.032883
2010-08-18,185.033,197.45,184.662,152.979996,3684040,119.625801
2010-08-19,196.938,199.496,189.918,149.169998,2899545,116.6465
2010-08-20,191.823,193.23,185.941,149.619995,1460400,116.998398
2010-08-23,189.521,193.588,189.521,149.550003,564310,116.943657
2010-08-24,191.312,192.514,189.547,148.919998,641710,116.451012
2010-08-25,191.312,191.312,183.421,146.039993,1043895,114.198944
2010-08-26,186.964,191.056,184.419,145.130005,1366860,113.48735
2010-08-27,186.708,188.907,181.848,143.220001,551235,111.99379
2010-08-30,184.675,187.731,181.337,143.910004,292830,112.53334
2010-08-31,180.57,187.271,180.442,144.559998,2728450,113.041626
2010-09-01,186.912,187.347,183.178,144.039993,980825,112.634987
2010-09-02,187.654,190.289,184.15,145.619995,1885400,113.870499
2010-09-03,186.708,189.01,185.173,146.429993,1576230,114.503899
2010-09-06,188.984,192.335,188.498,149.210007,690670,116.677795
2010-09-07,191.056,197.412,191.056,150.029999,1086895,117.318993
2010-09-08,191.567,193.869,189.982,149.960007,572845,117.264275
2010-09-09,191.9,193.23,187.219,147.580002,1102645,115.403183
2010-09-13,186.708,194.061,185.429,151.240005,1191115,118.265175
2010-09-14,193.332,200.008,193.23,154.369995,2169375,120.712753
2010-09-15,198.217,201.798,189.035,148.770004,2404850,116.333717
2010-09-16,195.877,196.683,187.999,148.570007,658110,116.177322
2010-09-17,192.846,195.148,190.544,149.580002,326055,116.967117
2010-09-20,194.317,195.608,191.44,151.820007,886830,118.718727
2010-09-21,194.151,197.706,192.36,152.139999,1748530,118.968948
2010-09-22,194.892,196.376,188.856,148.699997,990120,116.278984
2010-09-23,189.521,193.076,188.754,149.460007,509280,116.873283
2010-09-24,192.45,193.92,191.107,150.520004,694380,117.702171
2010-09-27,193.869,200.775,193.869,154.600006,1199920,120.892601
2010-09-28,197.194,199.279,192.399,152.350006,669470,119.133194
2010-09-29,195.685,202.629,195.481,156.179993,2673330,122.128113
2010-09-30,200.519,205.89,195.967,159.830002,3400555,124.9823
2010-10-01,203.588,211.159,202.847,160.399994,2070975,125.428024
2010-10-04,206.402,210.136,202.399,160.270004,2410110,125.326385
2010-10-05,206.76,206.913,203.716,160.059998,572570,125.162148
2010-10-06,207.143,207.681,200.519,157.75,1129970,123.355812
2010-10-07,203.588,203.959,198.217,156.130005,454670,122.089027
2010-10-08,200.263,201.389,191.056,152.669998,1537810,119.383408
2010-10-11,196.171,202.795,195.66,157.860001,881205,123.441833
2010-10-12,203.179,204.458,199.522,157.029999,791950,122.792793
2010-10-13,202.054,205.865,199.24,160.050003,791635,125.15435
2010-10-14,205.89,207.68,200.557,157.339996,677875,123.035217
2010-10-15,200.775,202.054,195.66,153.600006,369215,120.110649
2010-10-18,190.289,196.325,190.289,152.009995,2527560,118.867294
2010-10-19,196.427,196.926,191.823,150.820007,1351765,117.936768
2010-10-20,194.394,211.005,194.394,161.360001,10186705,126.178711
2010-10-21,207.783,213.627,203.639,166.149994,6524340,129.924362
2010-10-22,214.433,215.277,210.814,166.050003,7946485,129.846176
2010-10-25,213.921,216.722,212.412,167.320007,4220815,130.839279
2010-10-26,214.33,225.072,211.453,171.800003,5887095,134.342499
2010-10-27,220.98,227.502,218.678,171.740005,3730345,134.295578
2010-10-28,220.622,225.955,218.474,174.210007,4818770,136.227051
2010-10-29,224.932,225.009,211.645,168.080002,4265595,131.433563
2010-11-01,217.374,220.571,216.261,170.139999,1035350,133.044418
2010-11-02,217.655,217.655,211.3,166,2512070,129.807068
2010-11-03,217.284,217.412,212.834,168.960007,4582585,132.121704
2010-11-04,216.389,223.794,214.113,173.720001,5689480,135.843887
2010-11-08,226.351,232.247,223.73,179.979996,2740305,140.739014
2010-11-09,231.953,233.001,222.617,174.800003,3182340,136.6884
2010-11-10,231.467,239.984,228.909,181.929993,7419090,142.263855
2010-11-11,233.781,240.418,225.763,179.160004,6350430,140.097794
2010-11-12,229.114,233.679,220.469,173.240005,3082080,135.468536
