"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2017-07-03,507.950012,519.5,503.75,517.700012,1681165,515.936096
2017-07-04,518,527.349976,516,521.799988,2341020,520.022095
2017-07-05,525.299988,526.900024,520.5,524.25,1352844,522.463806
2017-07-06,522,529.400024,521.049988,524.849976,977589,523.061707
2017-07-07,512,530,508.399994,527,4378621,525.204407
2017-07-10,528.5,551,524,532.599976,259639,530.785339
2017-07-11,532.5,537.900024,530,532.049988,895189,530.237183
2017-07-12,533,536,529.299988,533.75,616647,531.931396
2017-07-13,534,547,533,546.349976,2016844,544.488464
2017-07-14,549.75,551.75,538.450012,540.75,1083576,538.907593
2017-07-17,542,545,519.75,529.450012,1232430,527.646057
2017-07-18,522.599976,526.5,517.349976,521.450012,1388550,519.67334
2017-07-19,523.950012,541.299988,522.049988,537.599976,1884008,535.76825
2017-07-20,542.5,547,536,539.450012,2053946,537.612
2017-07-21,540,544.5,528,532.349976,2057774,530.536133
2017-07-24,531.799988,538.700012,522.5,524.25,865534,522.463806
2017-07-25,528,530.75,524.450012,529.099976,680352,527.297241
2017-07-26,530,530.5,525.049988,528.299988,781054,526.5
2017-07-27,529.599976,544,517.849976,538.200012,3193974,538.200012
2017-07-28,533,539.799988,528,534.450012,723003,534.450012
2017-07-31,533,538.5,528,534.75,830068,534.75
2017-08-01,537.849976,539.5,527,530.450012,1033386,530.450012
2017-08-02,531.950012,535.75,526.349976,527.400024,1033249,527.400024
2017-08-03,526.549988,531.200012,515,517.349976,914352,517.349976
2017-08-04,519,519,508.5,515.049988,1116067,515.049988
2017-08-07,518.700012,523.349976,517,519.450012,582059,519.450012
2017-08-08,521.849976,522,506.200012,511.799988,954207,511.799988
2017-08-09,512.400024,512.400024,493.200012,497.200012,1320783,497.200012
2017-08-10,499.700012,505,482.350006,490.350006,1507305,490.350006
2017-08-11,477,498.950012,474.950012,490.299988,1164361,490.299988
2017-08-14,492.799988,501.899994,490.600006,497.75,673664,497.75
2017-08-16,499.049988,526.700012,499,523.900024,1816633,523.900024
2017-08-17,526,527,513.700012,516.950012,1199659,516.950012
2017-08-18,514.799988,529.5,506,527.25,2050151,527.25
2017-08-21,528.950012,529.799988,503.5,506.799988,1252384,506.799988
2017-08-22,508.799988,513.700012,500,501.649994,1007123,501.649994
2017-08-23,506,512.849976,504,509.149994,609202,509.149994
2017-08-24,508.450012,514.799988,506.350006,510.200012,786616,510.200012
2017-08-28,513,519.400024,507.399994,511,1302075,511
2017-08-29,506,541.5,506,531.549988,12629633,531.549988
2017-08-30,537.5,542.5,528.799988,537.549988,5238763,537.549988
2017-08-31,538,546.799988,532.549988,544.599976,5131679,544.599976
2017-09-01,544,548.5,531.950012,535.349976,2021850,535.349976
2017-09-04,535.599976,539.700012,525.25,534.049988,1234312,534.049988
2017-09-05,536.849976,543.5,535.099976,537.349976,1103951,537.349976
2017-09-06,533.349976,542.950012,533,539.599976,1818960,539.599976
2017-09-07,542,542.900024,529.75,533.150024,1958539,533.150024
2017-09-08,535,539,531.700012,537,1036368,537
2017-09-11,539,543.400024,532.950012,535.75,1777508,535.75
2017-09-12,537,541.700012,536,539.900024,1150877,539.900024
2017-09-13,540,544.400024,530.599976,534,1696380,534
2017-09-14,535.5,539.400024,530.549988,531.700012,951570,531.700012
2017-09-15,530,534.700012,525.150024,532,1309136,532
2017-09-18,532.75,540.25,532.75,537.450012,897683,537.450012
2017-09-19,537.5,539,534,535.099976,407337,535.099976
2017-09-20,535,536.799988,529,530.849976,614057,530.849976
2017-09-21,530.099976,535.5,523.450012,533.200012,1276036,533.200012
2017-09-22,531.950012,531.950012,515.25,517.150024,1040179,517.150024
2017-09-25,510.25,517.5,497,511.649994,1403714,511.649994
2017-09-26,516.950012,517,505.350006,510.25,894886,510.25
2017-09-27,517.599976,517.599976,498.75,500.899994,1335998,500.899994
2017-09-28,503.100006,511.899994,496.649994,503.450012,2160072,503.450012
2017-09-29,503.5,510,503.5,506.950012,1130974,506.950012
2017-10-03,510.100006,513.299988,509,510.049988,966414,510.049988
2017-10-04,512,513.5,509,509.899994,922644,509.899994
2017-10-05,512.849976,516.049988,510.649994,512.650024,1056380,512.650024
2017-10-06,513,517.799988,512.549988,516,1118205,516
2017-10-09,517,520.25,514,518.150024,668469,518.150024
2017-10-10,519.849976,520.5,515.150024,516.549988,707404,516.549988
2017-10-11,516.650024,521.099976,508,509,1451859,509
2017-10-12,511.899994,519,508.5,516.549988,1046834,516.549988
2017-10-13,517.299988,524.849976,515.099976,517.5,1119886,517.5
2017-10-16,520.950012,523,518.299988,521.200012,915908,521.200012
2017-10-17,524.400024,524.400024,519.75,521.849976,1367033,521.849976
2017-10-18,521.25,526.75,516,522.25,1485776,522.25
2017-10-19,526,526.5,517.099976,521,354170,521
2017-10-23,523.650024,531.900024,521.650024,527.549988,1429682,527.549988
2017-10-24,529,538.5,525.5,536.150024,1815137,536.150024
2017-10-25,541.900024,552,516.650024,524.400024,2290747,524.400024
2017-10-26,531.799988,544.450012,521.849976,530.549988,4143408,530.549988
2017-10-27,535,535.5,520.5,524.349976,1645562,524.349976
2017-10-30,524.799988,532.5,521.200012,525.049988,1529946,525.049988
2017-10-31,525.950012,528.549988,522.799988,525.400024,669354,525.400024
2017-11-01,527,530.200012,525.099976,526.099976,686031,526.099976
2017-11-02,526.099976,528.150024,522.549988,523.150024,519923,523.150024
2017-11-03,524,526,518.5,519.75,1424357,519.75
2017-11-06,517,528.700012,515.5,518.25,809343,518.25
2017-11-07,518.099976,521.400024,513,515.150024,604596,515.150024
2017-11-08,515,518.5,506.200012,508.350006,826297,508.350006
2017-11-09,510.649994,514.400024,508.950012,510.549988,787524,510.549988
2017-11-10,509,515,506.649994,509.75,617884,509.75
2017-11-13,509.950012,516,508.649994,510.049988,529051,510.049988
2017-11-14,510.100006,514.299988,508.399994,510.149994,390425,510.149994
2017-11-15,510.149994,512,504.200012,507.299988,765441,507.299988
2017-11-16,509,510.950012,505.299988,507.649994,549142,507.649994
2017-11-17,512,517,509.700012,511.25,703589,511.25
2017-11-20,513.950012,516.799988,512.549988,514.900024,653670,514.900024
2017-11-21,515.200012,515.5,510.100006,511.950012,498428,511.950012
2017-11-22,513.950012,514.450012,505.100006,506.850006,620068,506.850006
2017-11-23,508,511.899994,504.549988,507.899994,818649,507.899994
2017-11-24,513.200012,525.900024,510.549988,512.599976,2705419,512.599976
2017-11-27,513.450012,518.900024,508.399994,515.099976,851241,515.099976
