"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2015-03-16,25.102,25.199,24.86,23.3997,9227430,21.855141
2015-03-17,25.15,25.247,24.569,23.128099,12719766,21.601469
2015-03-18,25.005,25.102,24.52,22.992399,5109554,21.474724
2015-03-19,24.908,25.005,24.133,22.630301,4555898,21.136526
2015-03-20,24.569,24.908,23.745,22.494499,14748615,21.009691
2015-03-23,24.133,24.23,23.503,22.041901,3295153,20.586966
2015-03-24,23.551,23.745,23.163,21.7251,3441783,20.291077
2015-03-25,23.26,23.6,22.97,21.7251,4905764,20.291077
2015-03-26,23.163,23.551,22.97,21.7703,2947250,20.333294
2015-03-27,23.309,23.842,23.309,22.087099,2597784,20.629183
2015-03-30,23.939,24.23,23.939,22.5397,1403381,21.051907
2015-03-31,24.133,24.714,24.133,22.8113,2844422,21.30558
2015-04-01,24.23,24.957,24.23,23.2187,1396630,21.68609
2015-04-06,25.053,25.538,24.908,23.3997,2568357,21.855141
2015-04-07,25.15,25.587,25.053,23.761801,1950540,22.19334
2015-04-08,25.635,25.683,25.393,23.8071,1919540,22.235651
2015-04-09,25.441,25.829,25.005,23.8071,2249405,22.235651
2015-04-10,25.49,25.683,24.52,23.4902,2982812,21.939667
2015-04-13,25.15,25.344,24.23,22.992399,5611724,21.474724
2015-04-15,24.714,25.053,24.278,23.0376,3569012,21.516941
2015-04-16,24.714,25.053,24.327,22.8113,2082003,21.30558
2015-04-17,24.423,24.714,24.327,22.7661,1589166,21.263363
2015-04-20,24.423,24.569,23.987,22.494499,1396870,21.009691
2015-04-21,24.084,24.472,23.89,22.494499,1513386,21.009691
2015-04-22,24.084,24.375,24.084,22.584999,2227554,21.094215
2015-04-23,24.23,24.666,24.133,22.630301,3301612,21.136526
2015-04-24,24.23,24.278,23.89,22.403999,1647809,20.925163
2015-04-27,23.987,24.084,23.115,21.7251,1606030,20.291077
2015-04-28,23.115,23.6,23.018,21.634501,1819046,20.206457
2015-04-29,23.163,24.423,23.163,22.494499,2521906,21.009691
2015-04-30,24.423,24.423,23.357,21.951401,2278415,20.502438
2015-05-04,23.551,23.939,23.551,22.2229,1383390,20.756018
2015-05-05,23.697,23.793,22.727,21.317699,12230325,19.910568
2015-05-06,22.97,23.551,22.921,21.4988,8392814,20.079716
2015-05-07,23.018,23.115,22.582,21.1367,2115319,19.741516
2015-05-08,22.776,23.309,22.582,21.4988,7488097,20.079716
2015-05-11,23.067,23.745,23.067,22.087099,2766914,20.629183
2015-05-12,23.551,23.551,23.163,21.7251,1511527,20.291077
2015-05-13,23.309,23.745,23.26,22.041901,2275084,20.586966
2015-05-14,23.503,23.648,23.212,21.951401,4615791,20.502438
2015-05-15,23.454,23.793,23.454,22.041901,2310786,20.586966
2015-05-18,23.503,23.939,23.454,22.132401,2012773,20.671492
2015-05-19,23.551,23.697,23.406,21.906099,1212136,20.460129
2015-05-20,23.503,23.793,23.454,21.996599,1512533,20.544655
2015-05-21,23.551,23.745,23.357,21.8608,1521838,20.417818
2015-05-22,23.357,23.503,23.163,21.7251,1045107,20.291077
2015-05-25,23.212,23.309,23.067,21.544001,1135854,20.121929
2015-05-26,23.018,23.067,22.873,21.408199,1025607,19.995094
2015-05-27,22.776,23.357,22.776,21.6798,3328550,20.248766
2015-05-28,23.163,23.648,23.067,21.906099,2463214,20.460129
2015-05-29,23.357,24.036,23.357,22.2682,6757958,20.798326
2015-06-01,23.745,24.23,23.551,22.132401,2818460,20.671492
2015-06-02,23.6,23.745,22.534,21.2724,4259199,19.868258
2015-06-03,23.115,23.309,22.049,20.865101,5662782,19.487843
2015-06-04,22.388,22.437,21.758,20.865101,4742627,19.487843
2015-06-05,22.34,22.679,22.146,20.865101,2874390,19.487843
2015-06-08,22.534,22.582,22.097,20.684099,2945331,19.318789
2015-06-09,22.146,22.534,22.146,20.9104,2344684,19.530153
2015-06-10,22.291,23.067,22.291,21.2724,2652336,19.868258
2015-06-11,22.873,23.018,22.388,21.0009,2006085,19.614679
2015-06-12,22.437,23.067,22.437,21.363001,1685746,19.952879
2015-06-15,22.97,23.018,22.437,21.0462,1406408,19.65699
2015-06-16,22.534,22.873,22.485,21.2724,1234645,19.868258
2015-06-17,22.776,23.551,22.63,21.7703,3044882,20.333294
2015-06-18,23.357,23.454,23.018,21.544001,1910627,20.121929
2015-06-19,23.115,23.26,22.727,21.363001,2229103,19.952879
2015-06-22,22.921,24.036,22.824,21.996599,6459059,20.544655
2015-06-23,23.503,23.939,23.309,21.906099,3571266,20.460129
2015-06-24,23.503,23.503,22.63,21.2724,3601537,19.868258
2015-06-25,22.582,23.697,22.582,22.041901,6225186,20.586966
2015-06-26,23.551,23.648,23.067,21.5893,3794652,20.16424
2015-06-29,22.291,22.727,22.194,21.1367,4022241,19.741516
2015-06-30,22.534,23.018,22.534,21.408199,2349033,19.995094
2015-07-01,23.018,23.357,22.824,21.634501,2529691,20.206457
2015-07-02,23.26,23.357,23.115,21.634501,1807750,20.206457
2015-07-03,23.163,23.987,23.163,22.087099,3211308,20.629183
