"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2008-08-11,106.844002,109.327003,105.941002,108.348999,132748,72.063248
2008-08-12,110.606003,110.606003,106.844002,107.634003,90756,71.587692
2008-08-13,105.527,106.844002,104.210999,104.586998,257098,69.561127
2008-08-14,103.533997,104.926003,102.404999,103.233002,160572,68.660576
2008-08-18,100.148003,109.100998,100.148003,106.279999,321130,70.687141
2008-08-19,105.338997,106.054001,101.314003,102.969002,89866,68.484985
2008-08-20,103.082001,105.338997,103.082001,104.399002,399311,69.436089
2008-08-21,105.264,105.264,101.990997,102.742996,84712,68.334671
2008-08-22,99.733803,104.586998,99.733803,103.646004,35794,68.935265
2008-08-25,105.415001,105.716003,102.366997,102.517998,24939,68.185013
2008-08-26,101.953003,102.893997,101.013,102.443001,20374,68.135147
2008-08-27,101.727997,102.667999,99.5457,100.674004,161619,66.95858
2008-08-28,99.357597,102.179001,97.815102,100.448997,99541,66.808922
2008-08-29,101.200996,106.468002,100.824997,105.828003,293393,70.38652
2008-09-01,104.586998,107.07,103.195,105.602997,56634,70.23687
2008-09-02,108.310997,110.530998,105.716003,109.213997,454405,72.63855
2008-09-04,107.031998,117.753998,106.694,115.497002,783724,76.817406
2008-09-05,112.863998,120.012001,112.825996,114.632004,606788,76.242088
2008-09-08,115.873001,117.377998,113.691002,114.255997,282995,75.991997
2008-09-09,115.083,115.083,112.149002,112.863998,552169,75.066193
2008-09-10,111.922997,113.541,110.606003,110.681999,105609,73.614914
2008-09-11,110.983002,113.541,109.929001,112.185997,200116,74.615242
2008-09-12,114.367996,114.367996,109.100998,110.080002,79616,73.214531
2008-09-15,107.597,109.703003,102.330002,103.195,162097,68.6353
2008-09-16,98.040802,106.806999,98.040802,105.828003,84989,70.38652
2008-09-17,108.274002,108.274002,103.834999,103.985001,90518,69.160744
2008-09-18,98.040802,110.606003,98.040802,106.092003,147455,70.562103
2008-09-19,109.100998,112.863998,107.597,108.763,325982,72.3386
2008-09-22,111.359001,111.359001,105.452003,106.205002,42355,70.637268
2008-09-23,103.195,106.768997,102.028999,104.098,64219,69.235893
2008-09-24,104.210999,106.844002,103.834999,104.962997,360536,69.811203
2008-09-25,104.962997,106.092003,103.233002,103.872002,594318,69.085579
2008-09-26,103.458,105.113998,99.733803,100.674004,67850,66.95858
2008-09-29,100.448997,100.824997,88.786003,91.005699,386210,60.528168
2008-09-30,86.528702,93.187698,86.152496,89.312698,196951,59.402142
2008-10-01,90.629501,93.676804,88.898903,91.156197,110716,60.628262
2008-10-03,90.290901,91.043297,87.506897,88.184097,77556,58.651505
2008-10-06,88.0336,88.409798,84.873398,85.287201,328537,56.724777
2008-10-07,85.099098,88.0336,79.117401,82.352798,309534,54.773094
2008-10-08,80.509399,81.7509,72.9851,79.305496,253541,52.746319
2008-10-10,75.994797,76.7472,71.856499,74.978996,432207,49.868759
2008-10-13,74.489998,77.8759,73.737503,75.355202,911246,50.118969
2008-10-14,79.004501,79.756897,73.737503,74.151398,177550,49.318317
2008-10-15,73.737503,74.113701,69.411102,70.088303,207601,46.61594
2008-10-16,69.223,71.254501,64.520302,68.056702,239546,45.264709
2008-10-17,69.223,70.276398,64.746101,65.197502,97105,43.363049
2008-10-20,66.213303,66.965698,64.144096,64.821297,119469,43.112843
2008-10-21,65.498497,66.965698,64.708504,65.272797,82488,43.413132
2008-10-22,65.460899,65.460899,62.4888,63.2789,217261,42.086987
2008-10-23,62.451199,63.956001,59.479099,61.962101,101359,41.211182
2008-10-24,60.193901,61.623501,57.9366,59.892899,407340,39.834942
2008-10-27,60.193901,63.504601,57.372299,60.758202,426079,40.410465
2008-10-29,62.075001,65.460899,60.193901,62.075001,642858,41.286266
2008-10-31,63.166,64.708504,59.892899,61.209702,449758,40.710758
2008-11-03,63.203602,65.460899,62.4888,63.5798,441043,42.287113
2008-11-04,62.9403,67.229103,62.526402,66.401398,779000,44.163765
2008-11-05,67.642899,69.1101,66.288597,67.642899,380460,44.989494
2008-11-06,63.956001,68.470596,63.956001,67.530098,110087,44.914463
2008-11-07,66.5895,69.223,65.611397,68.7715,89015,45.740131
2008-11-10,66.1381,72.496002,66.1381,71.931702,95679,47.841988
2008-11-11,70.4645,71.404999,68.132004,68.470596,54039,45.539997
2008-11-12,66.2509,68.470596,66.2509,67.793404,76959,45.089596
2008-11-14,69.298203,69.975403,66.815201,67.793404,176012,45.089596
2008-11-17,66.2509,67.642899,63.956001,65.498497,102466,43.563248
2008-11-18,64.031303,64.633202,59.479099,60.1563,228136,40.010132
2008-11-19,60.570099,61.247299,56.431801,56.9585,190834,37.883263
2008-11-20,48.9828,57.9366,48.9828,56.920898,102206,37.858257
2008-11-21,53.6478,60.570099,53.6478,58.651402,996683,39.00922
2008-11-24,60.193901,60.193901,56.130798,57.109001,98350,37.983368
2008-11-25,58.689098,58.689098,55.8298,56.130798,89448,37.33276
2008-11-26,58.538601,58.538601,55.340801,56.431801,1344575,37.532959
