"Date","M&M.NS.Open","M&M.NS.High","M&M.NS.Low","M&M.NS.Close","M&M.NS.Volume","M&M.NS.Adjusted"
2008-07-07,117.561996,125.5,117.561996,123.561996,914924,95.847542
2008-07-08,120,131.199997,118.75,129.662994,4866276,100.580116
2008-07-09,130.761993,134.988007,130.024994,133.511993,1505220,103.565796
2008-07-10,133.25,135.488007,130.074997,134.113007,502504,104.032005
2008-07-11,140,140,131.25,133.149994,722140,103.284996
2008-07-14,132.5,139.188004,130,136.524994,846624,105.902992
2008-07-15,132.5,132.5,126.375,130.061996,724904,100.889626
2008-07-16,128.75,131.125,122.5,123.337997,1158188,95.67379
2008-07-17,125.5,131,125,128.662994,1117544,99.80442
2008-07-18,126.25,132.25,126.25,130.149994,1135752,100.957878
2008-07-21,136.25,136.25,130.5,132.149994,847744,102.509285
2008-07-22,130.25,138,130.25,136.587006,1096124,105.951096
2008-07-23,143.5,143.600006,136.011993,138.475006,2965072,107.415634
2008-07-24,140,143.5,131.25,135.712006,2458296,105.272362
2008-07-25,130.25,139.75,130.050003,135.125,829052,104.817009
2008-07-28,135.25,135.25,131.761993,132.425003,500796,102.72261
2008-07-29,131,132.125,122.137001,124.962997,881212,96.934311
2008-07-30,118.724998,129.875,118.724998,128.363007,2293560,99.571709
2008-07-31,129.5,133.5,126.75,130.688004,2472756,101.375214
2008-08-01,133.5,137,127.75,130.712006,1184740,101.393829
2008-08-04,128.988007,132.350006,127.75,130.100006,699624,100.919106
2008-08-05,126.5,138.75,126.5,137.863007,2321260,106.940895
2008-08-06,143,143.824997,134.25,140.938004,775620,109.32618
2008-08-07,137.761993,146.75,137.761993,143.811996,1259504,111.555542
2008-08-08,142,145,139.25,143.938004,497876,111.653297
2008-08-11,146.75,149,143.024994,147.511993,1135832,114.425652
2008-08-12,148,150.75,144.5,148.625,1456520,115.289009
2008-08-13,148.199997,149.649994,142.75,148.337006,929644,115.065628
2008-08-14,146.261993,147.375,145.287994,146.350006,669980,113.5243
2008-08-18,147.5,147.5,139.574997,141.962006,2061432,110.120514
2008-08-19,140,141.25,138.024994,140.337006,612496,108.859993
2008-08-20,140.337006,146.938004,136.311996,137.363007,1760520,106.553032
2008-08-21,137.5,138.311996,133.774994,134.962006,893600,104.69059
2008-08-22,136,138.75,132.537994,137.261993,1143716,106.474678
2008-08-25,138.725006,144.5,132.925003,141.287994,655296,109.597672
2008-08-26,138.75,144.363007,136.625,143.311996,1265396,111.167717
2008-08-27,144.037994,145.175003,141.5,143.962006,976612,111.671921
2008-08-28,144.587006,145.5,139.5,142.175003,2580248,110.285728
2008-08-29,143.738007,145.5,142.261993,144.662994,1399668,112.21566
2008-09-01,142.5,144.5,141.25,143.225006,829944,111.100212
2008-09-02,144.25,148.688004,142.125,146.363007,1104208,113.534378
2008-09-04,145,148.699997,145,147.300003,1755716,114.2612
2008-09-05,145,146.949997,142.811996,145.712006,245852,113.029411
2008-09-08,147.5,154.675003,147.25,148.537994,1389488,115.221527
2008-09-09,147.25,147.438004,144.287994,145.587006,1084448,112.932434
2008-09-10,145.212006,145.5,143.350006,144.25,2012392,111.895302
2008-09-11,142.75,143.625,139.511993,140.449997,2523124,108.947639
2008-09-12,141.75,143.462006,134.537994,137.037994,2518312,106.300941
2008-09-15,135,136.688004,129.625,134.561996,2259884,104.380287
2008-09-16,130.25,135.738007,125.262001,133.363007,2841808,103.450211
2008-09-17,136.225006,136.25,130.5,134.761993,1213056,104.535439
2008-09-18,130,140,125.987999,137.425003,3153064,106.601143
2008-09-19,138.75,143.5,134.511993,138.449997,3184292,107.39621
2008-09-22,139.949997,139.949997,136.25,138.574997,1408256,107.493195
2008-09-23,138.25,139.988007,135.625,137.600006,722492,106.736893
2008-09-24,138.75,141.725006,137.75,140.25,1247664,108.792496
2008-09-25,141.238007,142.511993,136.274994,139.886993,3086476,108.51091
2008-09-26,139.561996,141.225006,130.524994,132.899994,1209336,103.091057
2008-09-29,131.25,133.324997,123.800003,125.912003,1688208,97.670456
2008-09-30,123.5,132.113007,122.5,127.375,1197828,98.805305
2008-10-01,127.5,133.688004,126.25,127.188004,2116704,98.660255
2008-10-03,126.25,129.975006,125.5,128.725006,2016268,99.852501
2008-10-06,128.25,129.125,121.275002,125.925003,1454980,97.68055
2008-10-07,126.25,130.488007,114.25,118.574997,4923272,91.979118
2008-10-08,121.25,122.425003,111.525002,121.237999,4035484,94.044823
2008-10-10,117.25,124.875,97.787498,117.061996,5991116,90.805473
2008-10-13,120,133.75,118.75,129.938004,1778300,100.793427
2008-10-14,130,134.75,125.599998,126.925003,2507120,98.456238
2008-10-15,122.637001,126.974998,119.275002,121.612999,1575880,94.335701
2008-10-16,114.012001,117.5,100.387001,113.150002,4425620,87.77092
2008-10-17,113.712997,117,108.887001,110.199997,1327184,85.48259
2008-10-20,113.25,113.25,101.5,104.262001,1602236,80.876465
2008-10-21,106.25,107.224998,95.5,102.324997,5777152,79.373917
2008-10-22,97.762497,101.375,93.75,95.1875,4203752,73.837326
2008-10-23,92.0625,96.25,82.775002,85.262497,3194564,66.138474
2008-10-24,83.75,86,68.75,71.9375,3409964,55.802208
2008-10-27,71.9375,75.5,59.275002,62.724998,3329916,48.656036
2008-10-29,71.5,77.699997,68.75,75.512497,5038592,58.575356
2008-10-31,78.737503,98.75,76.800003,93.625,4884388,72.62529
2008-11-03,95,99.974998,92.012497,95.737503,3962424,74.263977
2008-11-04,94.300003,101,91.287498,100.012001,1829668,77.57972
2008-11-05,97.5,103,91.775002,93.887497,1878004,72.828911
2008-11-06,90.25,101,88.8125,94.837502,1283336,73.565834
2008-11-07,95,95,86.75,92.449997,2038004,71.713844
2008-11-10,91.387497,98.75,89.037498,97.5,1110384,75.631157
2008-11-11,96.275002,98.699997,88,89.0625,899980,69.086151
2008-11-12,87.5,89.75,83.824997,85.25,1160428,66.128777
2008-11-14,87.25,89,79,83.400002,2638860,64.693718
2008-11-17,82.875,84.712502,75.25,79.75,1614248,61.8624
2008-11-18,76.625,78.724998,73.75,75.224998,2025364,58.352348
2008-11-19,76.25,80.625,75,75.849998,1117912,58.837158
2008-11-20,74.25,78.599998,71.537498,75.675003,1662340,58.701416
2008-11-21,75,79.75,72.125,77.150002,1716076,59.845573
2008-11-24,78,79.387497,73.599998,74.925003,1146724,58.119633
2008-11-25,77.5,78.5,68.087502,69.0625,1423960,53.57206
2008-11-26,70.5,70.5,64.724998,67.425003,2457516,52.301849
2008-11-28,66.25,71.712502,64,70.199997,2828176,54.454422
2008-12-01,68.75,71.75,66.25,68.025002,2658444,52.767273
2008-12-02,67.125,67.125,61.25,62.224998,3464216,48.268185
2008-12-03,62.5,63.75,58.75,60.799999,3318700,47.162804
2008-12-04,62.237499,63.75,60.025002,63.424999,2766836,49.199032
2008-12-05,64,65.949997,62.262501,62.987499,1737000,48.859657
2008-12-08,65,68.25,61,62.212502,1646476,48.258488
2008-12-10,62.5,76.25,60.75,71.125,4331464,55.171951
