"Date","CAPPIPES.BO.Open","CAPPIPES.BO.High","CAPPIPES.BO.Low","CAPPIPES.BO.Close","CAPPIPES.BO.Volume","CAPPIPES.BO.Adjusted"
2016-04-27,37.049999,37.049999,37.049999,37.049999,9000,37.049999
2016-04-28,38,38,38,38,6000,38
2016-04-29,38,38,38,38,0,38
2016-05-02,38,38,38,38,0,38
2016-05-03,38,38,38,38,0,38
2016-05-04,38,38,38,38,0,38
2016-05-05,38,38,38,38,0,38
2016-05-06,38,38,38,38,0,38
2016-05-09,38,38,38,38,0,38
2016-05-10,38,38,38,38,0,38
2016-05-11,38,38,38,38,0,38
2016-05-12,38,38,38,38,0,38
2016-05-13,38,38,38,38,0,38
2016-05-16,38,38,38,38,0,38
2016-05-17,38,38,38,38,0,38
2016-05-18,38,38,38,38,0,38
2016-05-19,37,37,37,37,3000,37
2016-05-20,37,37,37,37,0,37
2016-05-23,37,37,37,37,0,37
2016-05-24,37,37,37,37,0,37
2016-05-25,37,37,37,37,0,37
2016-05-26,37,37,37,37,0,37
2016-05-27,37,37,37,37,0,37
2016-05-30,37,37,37,37,0,37
2016-05-31,37,37,37,37,0,37
2016-06-01,37,37,37,37,0,37
2016-06-02,37,37,37,37,0,37
2016-06-03,37,37,37,37,0,37
2016-06-06,37,37,37,37,0,37
2016-06-07,37,37,37,37,0,37
2016-06-08,37,37,37,37,0,37
2016-06-09,37,37,37,37,0,37
2016-06-10,38,38,38,38,6000,38
2016-06-13,39,40.5,39,40.450001,9000,40.450001
2016-06-14,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-15,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-16,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-17,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-20,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-21,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-22,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-23,40.450001,40.450001,40.450001,40.450001,0,40.450001
