"Date","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
2012-03-01,712.888,718.75,701.25,714.161987,4903316,514.813599
2012-03-02,716.25,716.25,703.275024,711.424988,3038828,512.840454
2012-03-05,714.525024,715.963013,699.174988,702.463013,2890228,506.380219
2012-03-06,701.275024,720,700.275024,713.112,5174844,514.056641
2012-03-07,710.5,723.75,708.775024,720.963013,3954284,519.716248
2012-03-09,720.963013,725.75,712,713.825012,3322404,514.570618
2012-03-12,728.75,728.75,695.25,704.349976,3647236,507.740295
2012-03-13,710.987,717.463013,710.5,714.950012,3855212,515.381653
2012-03-14,722.5,728.75,713.487,719.713013,5301044,518.815002
2012-03-15,723.75,726.286987,717.625,720.474976,3125680,519.364319
2012-03-16,726.25,728.25,711.786987,716.237,4515504,516.309265
2012-03-19,723.75,725,702.825012,709.375,3030764,511.362762
2012-03-20,706.5,713.299988,700.75,707.838013,4612692,510.254791
2012-03-21,708.112,722.5,705.25,716.825012,3125332,516.733093
2012-03-22,718.5,718.638,703.575012,707.075012,2832320,509.704773
2012-03-23,708.25,720.687988,707.599976,718.174988,2748868,517.706299
2012-03-26,717.25,717.25,705.275024,707.687988,2461332,510.146606
2012-03-27,715,725.937988,708.075012,718.974976,3795376,518.283081
2012-03-28,716.5,718.674988,706,710.775024,2959960,512.371948
2012-03-29,705.125,709.588013,691.950012,698,7000104,503.162872
2012-03-30,702.474976,718.25,700.75,716.575012,3981800,516.55304
2012-04-02,716,722.187988,710.25,712.549988,2425792,513.651611
2012-04-03,716.575012,719.411987,710.638,714.612,2725792,515.138
2012-04-04,712.25,718.737,711,712.775024,2627072,513.813721
2012-04-09,712.775024,714.838013,703.099976,705.687988,3270784,508.705017
2012-04-10,710.5,711.911987,684.25,692.849976,3621528,499.450531
2012-04-11,692.237,706.25,685.799988,701.099976,4089820,505.397675
2012-04-12,705.687988,707.963013,684.612,687.661987,5902804,495.710632
2012-04-13,629.5,630.674988,597.275024,600.638,37627784,432.97821
2012-04-16,600,606.638,583.263,591.138,16745740,426.129974
2012-04-17,599.75,599.75,584.025024,595.174988,11843544,429.040131
2012-04-18,600,600.638,588.75,592.812012,9582664,427.33667
2012-04-19,594.974976,603.737,592,601.349976,8556756,433.491425
2012-04-20,598.687988,607.099976,590.625,601.849976,5753760,433.851868
2012-04-23,597.5,597.5,576.25,577.724976,9068348,416.461121
2012-04-24,577.661987,591.200012,549.575012,587.388,26518956,423.426666
2012-04-25,587.424988,591.25,575.812012,587.487,12319252,423.498138
2012-04-26,587.5,594.700012,585.588013,589.049988,8568532,424.624817
2012-04-27,589.25,599.5,588.75,597.75,7031232,430.896301
2012-04-30,598,617,597.588013,615.525024,5434804,443.709717
2012-05-02,615.525024,622,615.437988,618,5062344,445.493835
2012-05-03,615,624.312012,615,620.724976,5700364,447.458191
2012-05-04,620.5,624.5,605.849976,610.487,5400444,440.077942
2012-05-07,602.25,612.200012,591.974976,609.400024,5355000,439.294464
2012-05-08,598.75,601.937988,582.286987,598.474976,5763320,431.419006
2012-05-09,592,598.700012,588.150024,591.562012,5249072,426.435638
2012-05-10,592,596.213013,580.575012,586.049988,4542012,422.462219
