"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-07-14,437.53,440.172,429.973,408.950012,1675557,386.957184
2015-07-15,433.725,439.009,430.238,408.600006,1330859,386.625977
2015-07-16,436.42,440.912,433.355,412.5,1544820,390.316223
2015-07-17,437.107,453.964,436.209,424.549988,2597334,401.718201
2015-07-20,450.529,456.341,448.045,426.649994,2090788,403.705292
2015-07-21,449.155,450.846,428.758,408.100006,1445120,386.152893
2015-07-22,428.018,444.294,426.961,418.649994,1305101,396.135498
2015-07-23,444.082,448.627,437.001,418.399994,1533238,395.898956
2015-07-24,441.757,445.35,431.876,411.100006,1133713,388.991547
2015-07-27,432.246,434.465,409.682,390.350006,1458356,369.357452
2015-07-28,411.954,417.133,405.244,390.25,1534846,369.262817
2015-07-29,413.751,416.182,403.711,389.25,1114773,368.31662
2015-07-30,414.808,439.432,413.223,411.5,3071393,389.370026
2015-07-31,437.16,446.724,433.038,414.600006,1928679,392.303314
2015-08-03,439.538,453.382,436.209,423.549988,1552541,400.772003
2015-08-04,448.415,458.402,440.912,423.899994,2124652,401.103149
2015-08-05,449.049,460.252,449.049,428.049988,1778184,405.029999
2015-08-06,455.972,459.723,447.306,424.850006,1502559,402.002075
2015-08-07,447.094,451.163,439.749,419.100006,1478264,396.56131
2015-08-10,443.871,446.619,424.214,407.049988,1275192,385.159332
2015-08-11,429.551,433.091,420.092,401.850006,1381898,380.238983
2015-08-12,422.734,425.165,399.695,380.549988,1629647,360.084473
2015-08-13,404.979,414.385,376.973,362.399994,2683050,342.910553
2015-08-14,385.745,396.102,377.29,371.5,2077795,351.521179
2015-08-17,393.248,397.793,382.574,370.899994,1653275,350.953461
2015-08-18,392.192,395.468,383.79,366.850006,1382166,347.121246
2015-08-19,386.802,391.875,383.42,365.850006,1058418,346.175018
2015-08-20,384.688,386.59,367.884,350.5,1674425,331.650513
2015-08-21,363.551,374.965,357.263,352.600006,1793808,333.637604
2015-08-24,357.105,358.796,307.75,299.350006,3150998,283.251312
2015-08-25,324.448,332.428,297.552,309.549988,4253641,292.902771
2015-08-26,321.912,361.966,317.156,337.200012,4804425,319.065796
2015-08-27,358.796,382.574,349.601,353,3586120,334.016083
2015-08-28,379.087,379.087,355.097,341.799988,3034413,323.418427
2015-08-31,358.796,366.722,351.556,341.549988,2299739,323.181854
2015-09-01,354.04,358.796,348.809,333,1729692,315.091644
2015-09-02,355.097,364.238,350.024,335.649994,1921865,317.599152
2015-09-03,359.218,362.389,353.459,339.200012,1235871,320.958252
2015-09-04,356.682,356.788,338.187,322.899994,2109403,305.534821
2015-09-07,343.471,350.605,339.033,325.850006,1542026,308.326172
2015-09-08,346.536,351.715,330.261,327.799988,1997730,310.171295
2015-09-09,354.04,364.08,349.178,341.049988,1667737,322.70874
2015-09-10,352.983,367.779,347.065,344.600006,2034293,326.067841
2015-09-11,365.718,372.376,357.21,341.399994,1634183,323.039917
2015-09-14,363.34,379.193,361.015,355.899994,2047926,336.760101
2015-09-15,373.01,375.599,362.547,345.850006,1486887,327.25061
2015-09-16,357.155,358.239,348.535,340.5,1482359,329.817474
2015-09-18,354.316,361.336,345.799,342.75,2703567,331.996887
2015-09-21,351.683,353.335,346.418,338.200012,2411163,327.58963
2015-09-22,352.406,354.058,334.804,327.25,2071516,316.983185
2015-09-23,331.758,349.257,331.758,336.899994,1671622,326.330414
2015-09-24,343.837,352.045,337.643,337.350006,2768885,326.766296
2015-09-28,350.703,359.788,348.277,346.350006,1557737,335.483948
2015-09-29,350.548,364.95,343.94,349.200012,2230341,338.244537
2015-09-30,362.988,366.085,356.381,347.899994,1930732,336.985291
2015-10-01,362.782,369.182,357.723,348.299988,1769518,337.372772
2015-10-05,362.369,371.299,361.594,357.649994,1289198,346.429413
2015-10-06,371.196,374.499,365.311,357.950012,1201941,346.720032
2015-10-07,369.595,382.603,366.705,365.549988,2296173,354.081573
2015-10-08,381.778,384.049,372.899,365.350006,1835387,353.887848
2015-10-09,380.435,382.707,373.364,363.899994,937765,352.483337
2015-10-12,376.822,385.081,372.847,364.450012,1454559,353.016083
2015-10-13,375.635,388.127,374.757,372.200012,2185811,360.52298
2015-10-14,384.049,390.14,380.126,369.649994,1286029,358.052948
2015-10-15,383.12,389.933,383.016,374.450012,1185213,362.702362
2015-10-16,387.146,399.277,385.081,383.5,1956390,371.468445
2015-10-19,395.405,399.225,390.501,382.149994,1299537,370.160767
2015-10-20,394.889,402.529,392.411,383.200012,1675337,371.177856
2015-10-21,395.405,403.974,390.863,382.600006,1535811,370.59668
2015-10-23,399.173,401.083,390.346,381.399994,918176,369.434296
2015-10-26,396.334,399.793,391.534,383.549988,1107102,371.516846
2015-10-27,392.308,400.98,391.482,386.350006,1316113,374.229034
2015-10-28,395.663,397.986,391.379,380.850006,856593,368.901581
2015-10-29,392.308,397.212,389.469,378.25,1483741,366.383148
2015-10-30,392.308,423.899,389.985,396.450012,3808414,384.012177
2015-11-02,407.897,409.859,399.948,390.799988,1388504,378.539398
2015-11-03,405.419,410.478,400.98,391.299988,1688862,379.023712
2015-11-04,406.245,417.498,405.884,399.350006,2749903,386.821167
2015-11-05,412.285,416.156,408.052,398.649994,2176419,386.143097
2015-11-06,413.317,415.279,394.889,386.5,1453536,374.374298
2015-11-09,392.308,411.149,384.41,396.149994,1642676,383.721558
2015-11-10,407.69,412.13,391.379,380.450012,1650314,368.51413
2015-11-13,393.34,422.041,392.721,394.25,3276341,381.881165
2015-11-16,404.284,433.036,403.045,417.399994,3299882,404.304871
2015-11-17,434.842,435.152,420.699,415.950012,2571834,402.900391
2015-11-18,426.996,434.636,415.64,405.25,2135206,392.536072
2015-11-19,419.769,425.654,414.504,410.549988,1543074,397.669769
2015-11-20,425.861,441.346,420.544,418.100006,2851375,404.98291
2015-11-23,433.5,435.1,426.945,416.549988,1620582,403.481537
2015-11-24,427.409,437.733,426.893,418.5,1933542,405.370392
2015-11-26,433.603,448.573,432.984,432.850006,2721477,419.270172
2015-11-27,447.076,455.18,441.346,431.950012,2183888,418.398407
2015-11-30,441.863,470.924,440.52,451.149994,3441998,436.996033
2015-12-01,468.653,469.066,460.033,449.25,1569483,435.15564
2015-12-02,464.833,467.259,454.303,445.450012,1370989,431.474884
2015-12-03,457.348,478.977,456.316,456.350006,3669395,442.032898
2015-12-04,469.531,479.029,460.652,447.950012,2451758,433.896454
2015-12-07,466.175,470.563,458.691,449,1512041,434.913483
2015-12-08,459.465,465.608,441.914,430.75,1551827,417.236053
2015-12-09,442.895,448.986,432.468,423.200012,2337700,409.922943
2015-12-10,439.127,452.186,433.242,435.549988,2507946,421.885437
2015-12-11,452.703,453.064,430.661,419.950012,2055766,406.774872
2015-12-14,431.539,438.611,427.77,419.75,1930741,406.581177
