"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2015-07-17,667.034,678.107,663.316,633.799988,1700642,600.986694
2015-07-20,674.943,686.069,669.67,645.950012,518558,612.507629
2015-07-21,680.338,692.435,658.95,633.200012,597262,603.219299
2015-07-22,669.184,681.571,651.34,644.025024,275368,613.531799
2015-07-23,681.755,694.797,677.53,654.974976,404838,623.963257
2015-07-24,693.223,693.223,661.312,634.924988,368628,604.86261
2015-07-27,662.361,678.789,656.063,632.900024,296014,602.933533
2015-07-28,664.513,668.135,648.19,620.950012,222792,591.549316
2015-07-29,656.063,667.61,642.994,634.575012,271854,604.529297
2015-07-30,665.511,677.057,651.077,623.400024,394506,593.883362
2015-07-31,659.107,676.008,656.352,639.825012,227670,609.53064
2015-08-03,673.856,681.256,666.849,638.724976,160016,608.482788
2015-08-04,670.47,672.858,659.239,636.599976,259292,606.458252
2015-08-05,669.499,681.256,668.45,645.424988,420374,614.86554
2015-08-06,672.859,692.672,672.859,648.924988,611166,618.199646
2015-08-07,681.177,685.953,674.774,649.25,254920,618.509399
2015-08-10,681.519,717.182,681.519,677.125,672102,645.064453
2015-08-11,719.045,726.892,714.846,689.474976,536796,656.829773
2015-08-12,726.761,738.307,719.045,699.525024,518712,666.40387
2015-08-13,735.841,742.664,719.203,688.849976,296132,656.234375
2015-08-14,722.719,729.017,710.438,685.424988,376688,652.971619
2015-08-17,721.67,750.012,719.045,701.200012,348326,667.999634
2015-08-18,738.465,757.911,738.465,710.950012,281828,677.287964
2015-08-19,751.953,760.64,738.465,716.724976,280262,682.789612
2015-08-20,755.785,760.43,713.718,688.650024,403176,656.043884
2015-08-21,722.457,759.301,709.073,706.075012,463988,672.643799
2015-08-24,716.421,729.542,682.306,665.150024,672132,633.656555
2015-08-25,695.558,713.797,661.312,639.025024,462946,608.768494
2015-08-26,682.306,713.692,662.361,659.900024,360196,628.655151
2015-08-27,698.051,733.216,690.179,664.900024,268128,633.418396
2015-08-28,703.326,740.039,703.326,698.150024,362156,665.094116
2015-08-31,736.864,754.998,715.371,697.924988,291188,664.879639
2015-09-01,738.465,747.387,703.982,683.849976,310384,651.471069
2015-09-02,719.045,734.292,714.322,686.25,290826,653.757568
2015-09-03,729.542,740.039,712.222,685.625,211028,653.162048
2015-09-04,728.991,728.991,679.262,678.224976,338144,646.112427
2015-09-07,710.648,716.421,679.76,650.025024,279422,619.247681
2015-09-08,678.632,697.526,666.56,659.724976,251898,628.488403
2015-09-09,702.25,716.421,695.847,670.075012,228406,638.34845
2015-09-10,695.427,713.797,684.274,674.775024,233054,642.825806
2015-09-11,706.186,721.67,706.186,678.125,169576,646.017212
2015-09-14,713.797,723.165,707.551,684.924988,151342,652.4953
2015-09-15,723.244,726.734,713.797,687.974976,77752,655.400818
2015-09-16,725.606,729.542,719.833,689.75,191550,657.091736
2015-09-18,740.039,744.632,728.571,699.75,217758,666.618347
2015-09-21,734.528,758.357,719.701,711.650024,159300,677.954956
2015-09-22,758.409,781.502,751.192,736.099976,602064,701.247192
2015-09-23,777.199,795.674,774.679,753.125,626330,717.466064
2015-09-24,792.524,841.021,787.906,780.150024,2035696,743.211609
2015-09-28,819.817,821.339,788.982,754.25,296620,718.537781
2015-09-29,786.751,811.944,772.685,758.075012,601566,722.181824
2015-09-30,804.071,809.293,784.652,757.224976,357460,721.371948
2015-10-01,794.361,795.673,777.33,746.525024,327204,711.17865
2015-10-05,784.652,809.32,784.652,764.974976,362776,728.755005
2015-10-06,807.22,827.847,796.513,762.849976,723274,726.730713
2015-10-07,803.022,809.32,790.451,759.599976,281104,723.634399
2015-10-08,800.922,808.296,756.598,731.125,628796,696.507813
2015-10-09,771.32,778.59,746.442,718.825012,776174,684.790161
2015-10-12,765.127,765.127,731.668,702.099976,484526,668.857117
2015-10-13,736.995,749.46,728.099,704.849976,627054,671.476807
2015-10-14,734.791,747.912,732.691,704.375,307960,671.024292
2015-10-15,750.274,750.746,724.819,701.775024,1036086,668.547485
2015-10-16,771.53,772.58,742.322,711.325012,2643088,677.645264
2015-10-19,750.51,763.605,745.918,725.125,478066,690.791931
2015-10-20,765.232,779.403,759.721,738.299988,545860,703.343018
2015-10-21,772.57,780.192,762.13,736.474976,395782,705.426331
2015-10-23,775.181,780.348,765.184,744.950012,387204,713.543945
2015-10-26,777.791,793.686,777.791,757.775024,577280,725.828308
2015-10-27,792.407,809.111,789.901,772.575012,549920,740.004333
2015-10-28,809.633,814.331,788.961,766.400024,506516,734.089844
2015-10-29,800.054,814.331,799.193,778.5,562364,745.679626
2015-10-30,812.765,821.013,802.351,784.650024,500572,751.570435
2015-11-02,821.587,824.249,780.4,750,535728,718.381165
2015-11-03,785.046,803.369,785.046,768.075012,318828,735.694214
2015-11-04,808.067,808.067,782.697,758.450012,266740,726.474976
2015-11-05,793.973,801.281,787.709,759.325012,138704,727.313049
2015-11-06,793.607,798.149,776.12,749.224976,207398,717.638794
2015-11-09,780.662,796.035,768.107,753.950012,180392,722.164612
2015-11-10,795.539,795.539,768.525,747.575012,327284,716.058289
2015-11-13,784.811,793.398,778.312,757.900024,337760,725.948181
2015-11-16,789.536,790.841,767.455,738.25,166674,707.126465
